PointID,WMA,Date,Time,Trap,Species,Sex,Wgt,HindFt,TailLgth,BodyLgth,TotalLgth,Comments,Column1
1954,LC,10/5/2010,9:06:00 AM,GR,BMGOMO,M,17,16,65,60,125,,
1954,LC,10/5/2010,9:10:00 AM,GR,BMHCRA,F,80,25,105,90,195,,1
1954,LC,10/5/2010,9:12:00 AM,GR,BMWHMO,M,20,18,54,68,122,,1
1954,LC,10/5/2010,9:15:00 AM,GR,BMWHMO,M,24,20,64,85,149,,
1961,LC,10/1/2010,10:04:00 AM,GR,BMGOMO,F,11,16,69,59,128,Juvenile,1
1961,LC,10/2/2010,9:49:00 AM,GR,BMGOMO,,,,,,,Escaped,1
1961,LC,10/2/2010,9:51:00 AM,GR,BMGOMO,F,19,17,70,70,140,,
1961,LC,10/2/2010,9:51:00 AM,GR,BMGOMO,M,17,17,84,69,153,,
1961,LC,10/3/2010,10:35:00 AM,GR,BMGOMO,F,15,16,80,80,160,,1
1961,LC,10/3/2010,10:40:00 AM,GR,BMCOMO,M,30,22,75,93,168,,1
1961,LC,10/3/2010,10:44:00 AM,GR,BMCOMO,F,27,22,74,80,154,,
1961,LC,10/3/2010,10:48:00 AM,GR,BMGOMO,M,19,18,75,78,153,,
1985,LC,10/2/2010,10:17:00 AM,GR,BMWHMO,M,19,19,55,60,115,,1
1985,LC,10/2/2010,10:20:00 AM,GR,BMWHMO,F,15,18,60,58,118,,
1985,LC,10/2/2010,10:25:00 AM,GR,BMWHMO,F,20,18,63,71,134,,
1985,LC,10/3/2010,9:00:00 AM,GR,BMWHMO,F,19,18,49,78,127,,1
1985,LC,10/3/2010,9:04:00 AM,GR,BMWHMO,M,19,17,41,61,122,,
1985,LC,10/3/2010,9:08:00 AM,GR,BMWHMO,M,20,19,56,74,130,Juvenile,
1985,LC,10/3/2010,9:12:00 AM,GR,BMWHMO,M,20,17,57,68,125,,
1985,LC,10/3/2010,9:15:00 AM,GR,BMCOMO,F,20,16,56,62,118,,1
1985,LC,10/3/2010,9:18:00 AM,GR,BMWHMO,M,26,22,61,79,140,,
1985,LC,10/3/2010,9:20:00 AM,GR,BMGOMO,F,17,17,60,75,135,,1
1985,LC,10/4/2010,8:53:00 AM,GR,BMWHMO,M,18,17,60,71,131,,1
1985,LC,10/4/2010,8:56:00 AM,GR,BMCOMO,F,20,17,53,69,122,,1
1985,LC,10/4/2010,8:59:00 AM,GR,BMWHMO,M,26,22,62,86,148,,
1985,LC,10/4/2010,9:02:00 AM,GR,BMWHMO,F,20,18,55,68,123,,
1985,LC,10/4/2010,9:05:00 AM,GR,BMWHMO,M,15,17,44,56,100,,
1985,LC,10/4/2010,9:08:00 AM,GR,BMWHMO,F,16,17,42,58,100,,
1985,LC,10/4/2010,9:11:00 AM,GR,BMWHMO,F,18,19,61,60,121,,
1985,LC,10/4/2010,9:14:00 AM,GR,BMWHMO,F,19,19,70,74,144,,
1985,LC,10/4/2010,9:17:00 AM,GR,BMWHMO,F,17,16,57,60,117,,
1985,LC,10/4/2010,9:20:00 AM,GR,BMWHMO,F,28,19,65,82,147,,
2032,LC,9/15/2010,9:16:00 AM,GR,BMWHMO,F,16,18,57,55,112,,1
2032,LC,9/16/2010,9:11:00 AM,TR,BMWHMO,M,22,17,67,74,141,,1
2032,LC,9/16/2010,9:16:00 AM,GR,BMWHMO,F,17,18,50,79,129,,
2032,LC,9/16/2010,9:18:00 AM,GR,BMWHMO,F,18,18,67,73,140,,
2032,LC,9/16/2010,9:20:00 AM,GR,BMLESH,,6,11,19,67,86,,1
2032,LC,9/16/2010,9:28:00 AM,GR,BMWHMO,F,21,18,61,80,141,,
2032,LC,9/17/2010,10:28:00 AM,TR,BMWHMO,M,21,18,61,70,131,,1
2032,LC,9/17/2010,10:31:00 AM,GR,BMWHMO,F,19,18,48,65,113,,
2032,LC,9/17/2010,10:54:00 AM,GR,BMLESH,,7,11,14,53,67,,1
2032,LC,9/17/2010,10:36:00 AM,GR,BMLESH,,7,11,19,65,84,,
2032,LC,9/17/2010,10:39:00 AM,GR,BMCOMO,F,17,22,61,69,130,,1
2054,LC,10/1/2010,9:35:00 AM,GR,BMWHMO,F,29,17,65,72,137,,1
2054,LC,10/1/2010,9:38:00 AM,GR,BMCOMO,F,35,21,75,97,172,,1
2054,LC,10/1/2010,9:45:00 AM,GR,BMCOMO,M,35,23,70,89,159,,
2054,LC,10/2/2010,9:36:00 AM,GR,BMWHMO,M,21,18,58,68,126,,1
2054,LC,10/2/2010,9:38:00 AM,GR,BMWHMO,M,27,17,62,64,126,,
2054,LC,10/2/2010,9:40:00 AM,GR,BMWHMO,M,31,20,68,88,156,,
2054,LC,10/2/2010,9:45:00 AM,GR,BMCOMO,M,34,22,65,77,142,,
2054,LC,10/3/2010,9:55:00 AM,GR,BMEAWO,M,213,40,154,148,302,,1
2054,LC,10/3/2010,9:59:00 AM,GR,BMCOMO,F,30,22,77,85,162,,1
2054,LC,10/3/2010,10:01:00 AM,GR,BMCOMO,M,33,23,70,76,146,,
2054,LC,10/3/2010,10:05:00 AM,GR,BMWHMO,F,21,18,56,64,120,,1
2054,LC,10/3/2010,10:07:00 AM,GR,BMWHMO,F,20,18,64,69,133,,
2054,LC,10/3/2010,10:09:00 AM,GR,BMCOMO,M,37,23,73,81,154,,
2102,LC,10/9/2010,9:05:00 AM,GR,BMWHMO,F,10,20,69,78,147,,1
2102,LC,10/10/2010,8:49:00 AM,GR,BMWHMO,M,20,17,54,76,130,,1
2102,LC,10/10/2010,8:54:00 AM,GR,BMWHMO,F,21,18,66,76,142,,
2102,LC,10/10/2010,8:55:00 AM,TR,BMSFSQ,F,64,27,95,118,213,,1
2116,LC,10/2/2010,10:35:00 AM,GR,BMCOMO,F,21,22,75,74,149,,1
2116,LC,10/3/2010,11:19:00 AM,GR,BMCOMO,F,14,22,64,67,131,Juvenile,1
2116,LC,10/3/2010,11:26:00 AM,GR,BMCOMO,M,28,22,80,81,162,,
2116,LC,10/3/2010,11:35:00 AM,GR,BMCOMO,M,21,22,75,72,147,,
2116,LC,10/3/2010,11:39:00 AM,GR,BMCOMO,M,28,22,76,94,170,,
2116,LC,10/4/2010,8:30:00 AM,GR,BMCOMO,F,18,22,71,77,148,,1
2116,LC,10/4/2010,8:34:00 AM,GR,BMMouse,F,14,21,65,69,134,Juvenile,1
2116,LC,10/4/2010,8:37:00 AM,GR,BMCOMO,F,36,22,78,74,152,,
2116,LC,10/4/2010,8:42:00 AM,GR,BMWHMO,M,17,20,57,64,121,,1
2118,LC,10/3/2010,11:59:00 AM,GR,BMOPOS,,,,,,,Juvenile,1
2118,LC,10/3/2010,12:03:00 PM,GR,BMHCRA,M,23,21,62,78,140,Juvenile,1
2118,LC,10/3/2010,12:08:00 PM,GR,BMMouse,F,14,21,67,67,134,Juvenile,1
2118,LC,10/3/2010,12:12:00 PM,GR,BMHCRA,M,24,22,60,83,143,Juvenile,
2118,LC,10/3/2010,12:17:00 PM,GR,BMGOMO,F,19,17,81,70,151,,1
2118,LC,10/4/2010,9:51:00 AM,GR,BMHCRA,F,25,23,58,71,129,Juvenile,1
2118,LC,10/4/2010,9:53:00 AM,GR,BMHCRA,F,26,22,66,72,138,Juvenile,
2128,LC,9/15/2010,8:54:00 AM,GR,BMCOMO,M,26,22,68,84,152,,1
2128,LC,9/16/2010,8:40:00 AM,GR,BMGOMO,F,15,17,66,64,130,,1
2128,LC,9/16/2010,8:45:00 AM,GR,BMCOMO,F,31,23,68,81,149,,1
2128,LC,9/16/2010,8:49:00 AM,GR,BMGOMO,F,11,16,52,67,119,,
2128,LC,9/17/2010,9:14:00 AM,GR,BMCOMO,M,26,22,68,79,147,,1
2128,LC,9/17/2010,9:17:00 AM,GR,BMLESH,,9,9,15,55,70,,1
2166,LC,10/10/2010,9:52:00 AM,GR,BMEAWO,M,193,34,157,158,315,,1
2166,LC,10/12/2010,9:39:00 AM,GR,BMEAWO,M,200,37,165,165,330,,1
2167,LC,10/11/2010,8:40:00 AM,GR,BMWHMO,F,33,21,68,95,163,,1
2167,LC,10/11/2010,8:44:00 AM,GR,BMWHMO,F,34,21,79,77,156,,
2167,LC,10/12/2010,10:25:00 AM,GR,BMWHMO,F,39,21,71,105,176,,1
2167,LC,10/12/2010,10:27:00 AM,GR,BMWHMO,M,29,19,69,87,156,,
2196,LC,10/9/2010,12:08:00 PM,GR,BMCOMO,M,32,22,60,79,139,,1
2196,LC,10/9/2010,12:10:00 PM,GR,BMWHMO,F,35,21,66,91,157,,1
2196,LC,10/10/2010,9:19:00 AM,GR,BMWHMO,F,33,21,66,80,146,,1
2196,LC,10/10/2010,9:49:00 AM,GR,BMWHMO,F,39,21,71,85,156,,
2198,LC,10/9/2010,8:58:00 AM,GR,BMWHMO,F,38,21,72,87,159,,1
2198,LC,10/10/2010,8:48:00 AM,TR,BMWHMO,M,30,21,62,82,144,,1
2198,LC,10/10/2010,8:50:00 AM,GR,BMWHMO,F,33,21,72,87,159,,
2233,LC,10/1/2010,9:30:00 AM,GR,BMWHMO,M,14,19,63,67,130,Juvenile,1
2233,LC,10/3/2010,9:42:00 AM,TR,BMCOMO,M,,21,73,83,156,,1
2283,LC,10/1/2010,8:58:00 AM,GR,BMWHMO,F,31,20,70,61,131,,1
2283,LC,10/2/2010,8:57:00 AM,GR,BMCOMO,F,34,22,79,83,162,,1
2283,LC,10/3/2010,11:26:00 AM,GR,BMSSSH,,10,10,17,63,80,,1
2283,LC,10/3/2010,11:28:00 AM,GR,BMWHMO,M,38,21,70,96,166,,1
2289,LC,10/1/2010,8:50:00 AM,GR,BMWHMO,M,19,17,59,79,138,,1
2289,LC,10/2/2010,8:45:00 AM,GR,BMWHMO,F,21,17,39,58,117,,1
2289,LC,10/3/2010,8:56:00 AM,GR,BMSSSH,,5,11,20,32,72,,1
2302,LC,10/1/2010,8:57:00 AM,GR,BMHCRA,F,49,25,62,105,167,,1
2302,LC,10/1/2010,9:05:00 AM,GR,BMMouse,F,13,18,56,65,121,Juvenile,1
2302,LC,10/2/2010,8:50:00 AM,GR,BMHCRA,F,85,29,98,137,235,,1
2302,LC,10/3/2010,8:42:00 AM,GR,BMSSSH,,,,,,,Escaped,1
2302,LC,10/3/2010,8:46:00 AM,GR,BMHCRA,F,80,27,97,135,232,,1
2302,LC,10/3/2010,8:52:00 AM,GR,BMWHMO,M,19,17,54,76,130,,1
2302,LC,10/3/2010,8:58:00 AM,GR,BMWHMO,F,20,18,64,74,138,,
2373,GU,12/1/2010,8:40:00 AM,TR,BMWHMO,F,22,20,66,78,144,,1
2373,GU,12/1/2010,8:45:00 AM,GR,BMWHMO,F,10,18,50,64,114,Juvenile,
2373,GU,12/1/2010,8:50:00 AM,GR,BMWHMO,F,17,19,16,61,77,"Tail cut short, old wound",
2373,GU,12/1/2010,8:55:00 AM,GR,BMWHMO,F,21,19,67,75,142,,
2373,GU,12/1/2010,8:56:00 AM,GR,BMWHMO,F,25,19,70,68,138,,
2373,GU,12/2/2010,8:15:00 AM,GR,BMWHMO,F,22,19,68,63,131,,1
2373,GU,12/3/2010,9:55:00 AM,GR,BMWHMO,M,19,19,65,60,125,,1
2373,GU,12/3/2010,9:59:00 AM,GR,BMWHMO,F,13,18,55,53,103,Dead,
2405,GU,12/7/2010,8:30:00 AM,GR,BMWHMO,M,15,18,51,62,113,,1
2405,GU,12/8/2010,8:40:00 AM,GR,BMWHMO,F,16,19,52,59,111,,1
2405,GU,12/9/2010,8:20:00 AM,GR,BMWHMO,M,15,19,52,76,128,,1
2453,GU,12/3/2010,9:24:00 AM,GR,BMWHMO,M,22,19,70,90,160,,1
2453,GU,12/4/2010,8:40:00 AM,GR,BMWHMO,F,24,19,73,74,147,,1
2453,GU,12/4/2010,8:42:00 AM,GR,BMWHMO,F,22,18,64,80,144,,
2456,GU,12/2/2010,8:21:00 AM,GR,BMHCRA,,,,,,,Escaped,1
2456,GU,12/3/2010,8:17:00 AM,GR,BMHCRA,M,81,25,92,137,229,,1
2456,GU,12/4/2010,8:49:00 AM,GR,BMHCRA,M,80,27,98,145,243,,1
2456,GU,12/4/2010,8:56:00 AM,GR,BMHCRA,F,79,26,95,136,231,,
2467,GU,12/2/2010,8:58:00 AM,GR,BMCOMO,M,17,22,58,64,122,Juvenile,1
2467,GU,12/2/2010,9:05:00 AM,GR,BMCOMO,M,26,22,64,79,143,,
2467,GU,12/2/2010,9:10:00 AM,GR,BMCOMO,F,24,22,76,86,162,,
2467,GU,12/3/2010,8:50:00 AM,GR,BMCOMO,F,24,22,78,90,168,,1
2467,GU,12/3/2010,8:52:00 AM,GR,BMCOMO,F,16,20,60,76,136,"Juvenile, dead",
2467,GU,12/3/2010,8:54:00 AM,GR,BMCOMO,M,24,22,70,83,153,,
2467,GU,12/3/2010,8:56:00 AM,GR,BMCOMO,M,28,23,75,90,165,,
2467,GU,12/4/2010,9:40:00 AM,GR,BMCOMO,F,15,21,70,79,149,Juvenile,1
2467,GU,12/4/2010,9:45:00 AM,GR,BMCOMO,M,32,21,64,74,138,,
2502,CW,11/9/2009,10:55:00 AM,GR,BMEACH,F,55,30,76,112,188,Dead,1
2506,CW,11/5/2009,9:00:00 AM,GR,BMWHMO,F,10,19,47,40,87,Juvenile,1
2506,CW,11/6/2009,9:50:00 AM,GR,BMWHMO,F,10,18,47,56,,Juvenile,1
2506,CW,11/7/2009,,GR,BMWHMO,F,10,18,47,55,,Juvenile,1
2522,CW,11/9/2009,9:10:00 AM,TR,BMEACH,F,50,33,95,102,197,,1
2606,CW,11/15/2009,10:50:00 AM,GR,BMEACH,F,85,35,100,,,Dead,1
2606,CW,11/15/2009,10:52:00 AM,GR,BMEACH,F,52,30,110,150,260,,
2667,CH,11/7/2009,11:09:00 AM,GR,BMWHMO,M,12,19,43,67,110,Juvenile,1
2688,CH,10/27/2009,9:09:00 AM,GR,BMWHMO,M,26,21,74,67,141,Scrotal,1
2688,CH,10/28/2009,9:00:00 AM,GR,BMWHMO,M,28,20,70,77,141,Scrotal,1
2688,CH,10/29/2009,9:45:00 AM,GR,BMWHMO,M,27,21,68,77,145,,1
2688,CH,10/29/2009,9:45:00 AM,GR,BMWHMO,M,19,17,49,56,105,Juvenile,
2688,CH,10/29/2009,9:45:00 AM,TR,BMSFSQ,M,66,32,105,145,250,"Dead, stiff",1
2691,CH,10/27/2009,9:00:00 AM,GR,BMSSSH,F,8,14,18,60,78,Dead,1
2691,CH,10/28/2009,9:17:00 AM,GR,BMWHMO,M,24,20,52,76,128,,1
2696,CH,10/30/2009,,TR,BMWHMO,F,20,20,60,70,130,Nursing,1
2696,CH,10/30/2009,9:00:00 AM,TR,BMWHMO,F,21,20,60,70,130,,
2704,CH,10/31/2009,9:30:00 AM,GR,BMWHMO,M,9,14,42,49,91,Juvenile,1
2709,CH,10/31/2009,10:00:00 AM,GR,BMWHMO,M,25,20,64,65,129,,1
2714,CH,10/31/2009,9:05:00 AM,GR,BMEAWO,F,79,33,175,156,331,,1
2714,CH,10/31/2009,9:05:00 AM,GR,BMSSSH,U,15,14,25,70,95,Dead,1
2714,CH,11/1/2009,9:46:00 AM,GR,BMEAWO,F,83,32,148,125,273,,1
2723,CH,10/28/2009,10:44:00 AM,GR,BMCOMO,F,30,23,74,90,164,,1
2723,CH,10/28/2009,10:46:00 AM,GR,BMWHMO,M,25,19,69,75,144,Caught in same trap,1
2723,CH,10/29/2009,10:40:00 AM,GR,BMWHMO,F,35,20,76,82,158,Caught in same trap,1
2723,CH,10/29/2009,10:40:00 AM,GR,BMWHMO,F,27,20,60,75,135,Juvenile,
2723,CH,10/29/2009,10:45:00 AM,GR,BMCOMO,F,33,22,83,80,183,,1
2723,CH,10/30/2009,10:05:00 AM,GR,BMCOMO,F,36,21,76,81,157,,1
2724,CH,10/28/2009,9:12:00 AM,GR,BMWHMO,F,27,20,27,72,,,1
2724,CH,10/28/2009,9:30:00 AM,GR,BMWHMO,F,24,20,27,78,,Recapture of individual on 10/28,
2733,OM,10/21/2009,11:00:00 AM,GR,BMCOMO,M,30,22,70,75,145,Juvenile,1
2746,OM,10/21/2009,10:00:00 AM,GR,BMEACH,M,55,30,75,115,190,,1
2852,OM,10/20/2009,9:56:00 AM,GR,BMWHMO,F,24,20,65,78,143,Juvenile,1
3033,OM,10/13/2009,10:39:00 AM,GR,BMWHMO,F,28,19,68,75,143,,1
3049,OM,10/21/2009,9:50:00 AM,GR,BMWHMO,F,18,20,60,75,135,Dead,1
3049,OM,10/22/2009,8:35:00 AM,GR,BMWHMO,M,21,20,58,65,123,Scortal,1
3049,OM,10/22/2009,8:35:00 AM,GR,BMSSSH,F,8,12,21,75,96,Dead,1
3049,OM,10/22/2009,8:35:00 AM,GR,BMSSSH,F,8,13,19,69,88,Dead,
3064,OM,10/14/2009,9:36:00 AM,GR,BMWHMO,F,20,18,62,71,133,,1
3064,OM,10/15/2009,10:55:00 AM,GR,BMWHMO,M,20,19,62,75,137,,1
3106,OM,10/15/2009,9:00:00 AM,GR,BMCOMO,F,37,22,82,82,164,Unhealthy,1
3106,OM,10/15/2009,9:00:00 AM,GR,BMCOMO,M,16,20,61,65,126,Juvenile,
3106,OM,10/16/2009,9:00:00 AM,GR,BMCOMO,M,17,21,64,75,139,Juvenile,1
3106,OM,10/17/2009,9:00:00 AM,GR,BMCOMO,F,19,20,60,60,120,Juvenile,1
3106,OM,10/17/2009,9:30:00 AM,GR,BMCOMO,F,31,22,82,80,162,Nursing,
3127,OM,10/14/2009,8:30:00 AM,GR,BMCOMO,F,36,21,72,88,160,Nursing,1
3265,WC,11/21/2009,11:04:00 AM,GR,BMWHMO,F,22,20,61,79,140,,1
3265,WC,11/21/2009,11:17:00 AM,GR,BMWHMO,F,,,,,,"Released, unhealthy",
3265,WC,11/22/2009,10:50:00 AM,GR,BMWHMO,F,,,,,,Released,1
3265,WC,11/23/2009,10:15:00 AM,GR,BMEACH,,,,,,,Escaped,1
3265,WC,11/23/2009,10:15:00 AM,GR,BMSFSQ,,,,,,,Dead,1
3265,WC,11/23/2009,10:20:00 AM,GR,BMWHMO,M,24,20,56,72,128,,1
3265,WC,11/23/2009,10:25:00 AM,GR,BMWHMO,F,32,19,60,80,140,,
3267,WC,11/22/2009,10:15:00 AM,GR,BMWHMO,F,29,19,61,81,142,,1
3267,WC,11/22/2009,10:15:00 AM,GR,BMWHMO,F,12,17,43,60,103,"Juvenile, tail cut short",
3267,WC,11/23/2009,9:15:00 AM,GR,BMWHMO,M,22,19,63,85,,,1
3267,WC,11/23/2009,9:15:00 AM,GR,BMWHMO,F,18,19,60,75,,,
3267,WC,11/23/2009,9:20:00 AM,GR,BMWHMO,F,32,22,77,80,,,
3267,WC,11/23/2009,9:20:00 AM,GR,BMWHMO,F,12,17,44,60,,Juvenile,
3267,WC,11/24/2009,9:48:00 AM,GR,BMWHMO,F,18,19,55,72,127,,1
3267,WC,11/24/2009,9:57:00 AM,GR,BMWHMO,M,,20,70,78,148,Unhealthy,
3267,WC,11/24/2009,10:00:00 AM,GR,BMSSSH,,,,,,,Dead,1
3267,WC,11/24/2009,10:00:00 AM,GR,BMWHMO,M,,,,,,Dead,
3273,WC,11/20/2009,10:30:00 AM,GR,BMWHMO,F,33,20,65,75,,Nursing,1
3278,WC,11/18/2009,9:15:00 AM,GR,BMWHMO,,17,,,,,"Nursing, escaped",1
3278,WC,11/19/2009,11:26:00 AM,GR,BMWHMO,F,18,19,56,60,116,Juvenile,1
3278,WC,11/20/2009,9:56:00 AM,GR,BMWHMO,F,16,17,49,68,117,Juvenile,1
3282,WC,11/18/2009,9:32:00 AM,GR,BMWHMO,F,27,20,72,,,Escaped,1
3282,WC,11/19/2009,9:37:00 AM,GR,BMWHMO,F,17,18,48,62,110,,1
3282,WC,11/19/2009,9:33:00 AM,GR,BMWHMO,M,13,17,44,50,94,Juvenile,
3282,WC,11/20/2009,12:57:00 PM,GR,,M,11,19,57,55,112,Dead,
3283,WC,11/21/2009,12:20:00 PM,GR,BMEACH,F,97,37,112,210,322,"Dead, fire ants",1
3283,WC,11/22/2009,10:28:00 AM,GR,BMWHMO,M,21,19,65,75,140,,1
3283,WC,11/23/2009,11:50:00 AM,GR,BMEACH,MS,141,32,105,140,245,,1
3297,WC,11/22/2009,10:05:00 AM,GR,BMWHMO,M,15,18,51,66,117,Juvenile,1
3297,WC,11/23/2009,11:14:00 AM,GR,BMCOMO,F,17,22,55,75,130,Juvenile,1
3297,WC,11/24/2009,10:11:00 AM,GR,BMWHMO,M,26,21,70,77,147,,1
3346,CO,9/20/2009,10:56:00 AM,TR,BMSFSQ,M,60,,,,,Dead,1
3353,CO,10/2/2009,10:06:00 AM,GR,BMGOMO,M,23,17,61,92,153,,1
3405,CO,9/10/2009,11:50:00 AM,GR,BMEAWO,M,203,38,155,140,295,,1
3410,CO,9/8/2009,9:20:00 AM,TR,BMWHMO,M,22,21,66,70,136,,1
3410,CO,9/10/2009,9:52:00 AM,TR,BMWHMO,M,21,21,68,,,Escaped,1
3410,CO,9/10/2009,9:46:00 AM,GR,BMWHMO,F,20,20,60,65,125,,
3410,CO,9/10/2009,9:54:00 AM,GR,BMWHMO,M,21,19,65,70,135,,
3462,CO,9/9/2009,9:39:00 AM,GR,BMWHMO,M,,20,60,71,131,,1
3462,CO,9/10/2009,10:57:00 AM,GR,BMWHMO,M,17,20,58,64,122,Scrotal,1
3462,CO,9/10/2009,10:58:00 AM,GR,BMWHMO,F,22,21,65,70,135,,
3465,CO,9/19/2009,9:15:00 AM,GR,BMWHMO,,,,,,,Escaped,1
3540,WC,11/20/2009,10:54:00 AM,GR,BMWHMO,F,20,20,63,75,138,,1
3541,WC,11/20/2009,10:15:00 AM,GR,BMWHMO,F,20,20,66,62,128,,
3541,WC,11/21/2009,9:50:00 AM,GR,BMWHMO,M,20,20,60,67,127,,1
3541,WC,11/22/2009,11:30:00 AM,GR,BMWHMO,F,22,21,66,62,128,,1
3541,WC,11/22/2009,11:36:00 AM,GR,BMWHMO,F,23,21,65,67,132,,
3541,WC,11/22/2009,11:40:00 AM,GR,BMWHMO,M,9,17,56,51,107,Juvenile,
3541,WC,11/22/2009,11:42:00 AM,GR,BMWHMO,M,19,20,60,68,128,,
3541,WC,11/22/2009,11:46:00 AM,GR,BMWHMO,M,9,20,55,50,105,Juvenile,
3553,CO,10/3/2009,10:00:00 AM,GR,BMHCRA,M,91,31,21,109,130,Missing some tail,1
3585,CO,9/18/2009,2:02:00 PM,GR,,M,25,19,70,70,140,,0
3585,CO,9/20/2009,11:00:00 AM,GR,BMWHMO,M,24,20,67,70,137,Scrotal,1
3585,CO,9/20/2009,11:00:00 AM,GR,BMWHMO,F,25,19,61,69,130,Tail tuff,
3606,CO,9/17/2009,9:50:00 AM,GR,BMWHMO,M,39,19,57,81,138,,1
3606,CO,9/19/2009,2:00:00 PM,GR,BMWHMO,M,31,21,71,64,,,1
3606,CO,9/19/2009,2:10:00 PM,GR,BMWHMO,M,30,20,72,54,,,
3664,CO,9/19/2009,1:13:00 PM,GR,BMWHMO,M,26,19,73,84,157,,
3664,CO,9/20/2009,10:25:00 PM,GR,BMWHMO,M,23,18,67,71,138,,1
3688,CO,9/10/2009,10:31:00 AM,GR,BMWHMO,M,19,19,58,70,128,,1
3705,CO,9/18/2009,1:22:00 PM,GR,BMUNKN,,,,,,,,1
3705,CO,9/18/2009,1:22:00 PM,TR,BMWHMO,M,21,18,65,74,139,Scrotal,1
3705,CO,9/19/2009,1:12:00 PM,TR,BMWHMO,M,21,20,65,70,135,Scrotal,1
3705,CO,9/19/2009,1:22:00 PM,TR,BMWHMO,F,20,19,57,60,117,,
3705,CO,9/19/2009,1:12:00 PM,TR,BMWHMO,M,24,19,65,70,135,Scrotal,
3705,CO,9/19/2009,1:20:00 PM,TR,BMWHMO,M,24,20,66,70,136,Scrotal,
3732,CO,9/19/2009,12:00:00 PM,GR,BMWHMO,F,18,19,57,70,127,,
3732,CO,9/20/2009,9:05:00 AM,GR,BMWHMO,M,28,19,61,75,136,,1
3770,CO,9/16/2009,12:33:00 AM,GR,BMWHMO,M,20,19,62,73,135,"Gray, dark heels no tuft",1
3770,CO,9/18/2009,10:20:00 AM,GR,BMWHMO,M,,20,65,70,135,Scrotal,1
3770,CO,9/18/2009,10:28:00 AM,GR,BMWHMO,M,22,19,69,72,141,Tail tuff,
3805,CO,10/6/2009,10:53:00 AM,GR,BMGOMO,F,26,16,71,97,168,Nursing,1
3805,CO,10/8/2009,11:00:00 AM,GR,BMGOMO,F,33,17,75,95,170,Nursing,1
3817,BA,9/19/2008,9:28:00 AM,GR,BMHCRA,,,,,,,Escaped,1
3817,BA,9/19/2008,9:30:00 AM,GR,BMCOMO,F,37,22,65,42,157,,1
3817,BA,9/20/2008,8:50:00 AM,GR,BMHCRA,F,158,30,106,152,258,,1
3817,BA,9/20/2008,9:01:00 AM,GR,BMCOMO,M,,122,74,93,,Escaped,1
3817,BA,9/20/2008,9:10:00 AM,GR,BMCOMO,M,,22,68,,,Escaped,0
3817,BA,9/21/2008,8:31:00 AM,GR,BMEHMO,M,9,14,50,59,109,,1
3817,BA,9/21/2008,8:25:00 AM,GR,BMHCRA,,,,,,,"Dead, covered in fire ants",1
3817,BA,9/21/2008,8:48:00 AM,GR,BMCOMO,M,30,22,64,94,158,,
3817,BA,9/21/2008,8:55:00 AM,GR,BMCOMO,,22,,,,,Escaped,
3817,BA,9/21/2008,9:00:00 AM,GR,BMHCRA,F,145,29,,,,Escaped,
3817,BA,9/21/2008,9:05:00 AM,GR,BMCOMO,F,35,22,71,102,173,,
3817,BA,9/21/2008,9:10:00 AM,GR,BMCOMO,M,32,22,73,115,188,,
3817,BA,9/21/2008,9:16:00 AM,TR,BMCOMO,M,31,22,70,85,155,,
3817,BA,9/21/2008,9:28:00 AM,TR,BMCOMO,M,26,21,68,92,160,,
3842,BA,9/19/2008,9:15:00 AM,TR,BMCOMO,M,24,22,64,90,,,1
3842,BA,9/21/2008,8:40:00 AM,TR,BMCOMO,F,17,22,72,63,,,1
3842,BA,9/19/2008,9:12:00 AM,GR,BMHCRA,F,20,22,71,67,,,1
3842,BA,9/20/2008,8:50:00 AM,GR,BMCOMO,,,,,,,Escaped,1
3842,BA,9/21/2008,8:40:00 AM,GR,BMHCRA,,23,24,65,83,,,1
3842,BA,9/21/2008,8:40:00 AM,GR,BMHCRA,M,18,23,64,68,,,
3842,BA,9/21/2008,8:40:00 AM,GR,BMCOMO,M,27,22,66,,,,0
3842,BA,9/18/2008,6:23:00 AM,GR,BMHCRA,F,23,24,67,71,138,Scared into trap,1
3864,BA,9/22/2008,8:06:00 AM,GR,BMCOMO,,,,,,,"Injuried leg from trap, released",1
3864,BA,9/23/2008,8:34:00 AM,GR,BMCOMO,F,26,21,74,81,155,,1
3864,BA,9/23/2008,8:49:00 AM,GR,BMCOMO,M,26,22,72,82,154,,
3864,BA,9/24/2008,8:13:00 AM,GR,BMCOMO,F,32,24,76,89,165,,1
3864,BA,9/24/2008,8:17:00 AM,GR,BMCOMO,M,25,20,66,101,167,,
3864,BA,9/24/2008,8:42:00 AM,GR,BMCOMO,M,31,22,78,79,157,,
3896,BA,9/20/2008,8:48:00 AM,GR,BMGOMO,F,8,12,65,77,142,"Golden brown, dorsal buffy ventral incisors groomed",1
3896,BA,9/20/2008,9:07:00 AM,GR,BMCOMO,M,19,21,64,76,140,,1
3896,BA,9/20/2008,9:24:00 AM,GR,,,,,,,,,
3896,BA,9/21/2008,11:15:00 AM,GR,BMCOMO,M,29,27,66,77,143,,1
3896,BA,9/21/2008,11:31:00 AM,GR,BMCOMO,M,17,22,61,71,132,,
3896,BA,9/22/2008,9:42:00 AM,GR,BMCOMO,M,15,22,64,69,133,,1
