PointID,WMA,Date,Time,Trap,Species,Sex,Wgt,HindFt,TailLgth,BodyLgth,TotalLgth,Comments,Column1
651,MS,11/17/2010,8:25:00 AM,GR,BMWHMO,F,23,18,68,75,143,,
651,MS,11/17/2010,8:30:00 AM,GR,BMEACH,F,80,28,80,125,205,,1
668,MS,11/16/2010,10:06:00 AM,GR,BMCOMO,M,16,21,68,77,145,Juvenile,1
668,MS,11/17/2010,8:15:00 AM,GR,BMWHMO,F,19,18,71,70,141,Dead,1
668,MS,11/18/2010,9:00:00 AM,GR,BMWHMO,F,13,17,57,55,112,Juvenile,1
682,MS,11/15/2010,8:03:00 AM,GR,BMMouse,F,16,21,72,60,132,Juvenile,1
682,MS,11/16/2010,8:07:00 AM,GR,BMWHMO,F,32,20,76,95,171,Pregnant?,1
682,MS,11/17/2010,8:50:00 AM,GR,BMWHMO,F,,,,,,Nearly dead,1
682,MS,11/17/2010,8:53:00 AM,GR,BMWHMO,F,22,21,67,73,140,Juvenile,
682,MS,11/17/2010,8:57:00 AM,GR,BMWHMO,F,20,20,71,71,142,Juvenile,
683,MS,11/16/2010,8:27:00 AM,GR,BMWHMO,F,17,20,62,68,130,,1
683,MS,11/17/2010,9:20:00 AM,GR,BMWHMO,F,23,18,59,68,127,Juvenile,1
701,LC,10/12/2010,10:10:00 AM,TR,BMGOMO,F,12,17,60,62,122,Juvenile,1
716,MS,11/16/2010,8:10:00 AM,GR,BMMouse,M,19,17,64,68,132,Juvenile,1
716,MS,11/18/2010,8:14:00 AM,GR,BMEACH,M,130,34,97,144,241,Dead,1
720,MS,11/16/2010,9:37:00 AM,GR,BMCOMO,F,22,22,58,64,122,,1
720,MS,11/18/2010,11:14:00 AM,GR,BMCOMO,F,25,22,70,71,141,Botfly,1
734,MS,11/16/2010,9:20:00 AM,GR,BMEACH,F,75,33,105,121,226,,1
734,MS,11/17/2010,9:45:00 AM,GR,BMWHMO,M,27,20,86,76,162,,1
734,MS,11/18/2010,9:50:00 AM,GR,BMWHMO,F,20,19,78,73,151,Dead,1
737,MS,11/17/2010,11:00:00 AM,GR,BMWHMO,M,16,18,55,58,113,Juvenile,1
748,LC,11/16/2010,9:38:00 AM,GR,BMWHMO,F,18,18,55,66,121,,1
748,LC,11/17/2010,11:18:00 AM,GR,BMEACH,,111,29,63,150,213,,1
835,LC,10/20/2010,8:29:00 AM,GR,BMCOMO,F,26,23,76,79,155,Juvenile,1
891,LC,10/18/2010,9:53:00 AM,TR,BMGOMO,F,19,17,81,72,153,,1
909,LC,9/8/2010,10:20:00 AM,TR,BMWHMO,M,15,19,62,64,126,Juvenile,1
945,LC,9/25/2010,12:38:00 AM,GR,BMWHMO,F,28,21,65,81,146,,1
981,LC,9/25/2010,9:51:00 AM,GR,BMLESH,,7,,18,68,86,,1
991,LC,9/8/2010,9:30:00 AM,GR,BMCOMO,M,30,22,76,85,161,,1
991,LC,9/10/2010,9:40:00 AM,GR,BMCOMO,M,36,22,87,96,183,,1
1025,LC,9/23/2010,9:00:00 AM,GR,BMMouse,M,13,20,69,73,142,Juvenile,1
1025,LC,9/24/2010,9:10:00 AM,GR,BMMouse,F,13,21,68,62,130,Juvenile,1
1031,LC,9/26/2010,8:42:00 AM,GR,BMCOMO,F,42,21,81,86,167,,1
1031,LC,9/26/2010,8:48:00 AM,GR,BMCOMO,F,30,21,70,90,160,,
1122,LC,9/23/2010,10:00:00 AM,GR,BMSSSH,,7,11,20,66,86,,1
1122,LC,9/23/2010,10:28:00 AM,GR,BMSSSH,,7,10,17,60,77,Dead,
1149,LC,9/11/2010,10:44:00 AM,GR,BMGOMO,F,19,17,69,78,147,,1
1149,LC,9/12/2010,8:58:00 AM,GR,BMWOVO,F,21,14,17,82,99,,1
1149,LC,9/12/2010,9:08:00 AM,GR,BMGOMO,F,19,16,71,78,149,,1
1149,LC,9/12/2010,9:14:00 AM,TR,BMGOMO,M,19,17,73,83,156,,
1164,LC,9/25/2010,1:20:00 PM,GR,BMCOMO,M,30,24,96,81,,,1
1164,LC,9/25/2010,1:25:00 PM,GR,BMCOMO,M,26,22,74,80,,,
1164,LC,9/25/2010,1:31:00 PM,TR,BMCOMO,F,53,27,102,110,,,
1214,LC,9/7/2010,8:56:00 AM,GR,BMWHMO,F,13,16,67,66,133,Juvenile,1
1214,LC,9/9/2010,8:58:00 AM,GR,BMGOMO,F,13,16,74,61,135,,1
1214,LC,9/9/2010,9:08:00 AM,TR,BMGOMO,F,22,17,79,73,152,,
1215,LC,9/9/2010,9:59:00 AM,GR,BMSSSH,,6,10,21,52,73,Dead,1
1215,LC,9/9/2010,9:59:00 AM,GR,BMGOMO,M,22,17,85,78,163,,1
1215,LC,9/10/2010,8:48:00 AM,GR,BMSSSH,,7,11,20,56,76,Dead,1
1215,LC,9/10/2010,8:52:00 AM,TR,BMGOMO,M,18,16,77,80,157,,1
1226,LC,9/23/2010,9:35:00 AM,GR,BMWOVO,M,28,16,20,89,109,,1
1226,LC,9/25/2010,11:30:00 AM,GR,BMWOVO,M,31,15,22,92,112,,1
1357,LC,9/10/2010,10:51:00 AM,GR,BMWHMO,F,30,21,67,96,163,,1
1357,LC,9/10/2010,10:55:00 AM,GR,BMGOMO,M,19,19,83,92,175,,1
1357,LC,9/11/2010,10:24:00 AM,GR,BMGOMO,F,23,17,76,82,158,,1
1357,LC,9/11/2010,10:28:00 AM,GR,BMGOMO,M,18,18,72,84,156,,
1357,LC,9/11/2010,10:32:00 AM,GR,BMWHMO,F,26,20,69,80,149,,1
1357,LC,9/12/2010,9:08:00 AM,GR,BMGOMO,F,18,16,65,70,135,,1
1357,LC,9/12/2010,9:13:00 AM,GR,BMWHMO,F,24,21,70,79,149,,1
