"","GRP_NUM","Group_Name","GRP_ID","Point","X_2","Y_2"
"88",9,"Barbour","BA",3900,-85.4755335107,32.0203168676
"89",9,"Barbour","BA",3901,-85.4726793409,32.0200490202
"90",9,"Barbour","BA",3902,-85.4698251902,32.0197811003
"91",9,"Barbour","BA",3903,-85.4669710586,32.019513108
"92",9,"Barbour","BA",3904,-85.464116946,32.0192450432
"93",9,"Barbour","BA",3905,-85.4612628525,32.018976906
"94",9,"Barbour","BA",3906,-85.4584087781,32.0187086963
"95",9,"Barbour","BA",3907,-85.4555547228,32.0184404141
"96",9,"Barbour","BA",3908,-85.4527006866,32.0181720595
"97",9,"Barbour","BA",3909,-85.4498466696,32.0179036325
"98",9,"Barbour","BA",3910,-85.4469926716,32.017635133
"99",9,"Barbour","BA",3911,-85.4441386927,32.017366561
"100",9,"Barbour","BA",3912,-85.441284733,32.0170979166
"101",9,"Barbour","BA",3913,-85.4384307923,32.0168291997
"102",9,"Barbour","BA",3914,-85.4355768708,32.0165604104
"103",9,"Barbour","BA",3915,-85.4327229685,32.0162915486
"104",9,"Barbour","BA",3916,-85.4298690852,32.0160226144
"105",9,"Barbour","BA",3917,-85.5015385097,32.0203157951
"106",9,"Barbour","BA",3918,-85.4986842532,32.0200486067
"107",9,"Barbour","BA",3919,-85.4844132561,32.0187115779
"108",9,"Barbour","BA",3920,-85.4815591138,32.0184439548
"109",9,"Barbour","BA",3921,-85.4787049905,32.0181762592
"110",9,"Barbour","BA",3922,-85.4758508863,32.0179084911
"111",9,"Barbour","BA",3923,-85.4729968012,32.0176406506
"112",9,"Barbour","BA",3924,-85.4701427351,32.0173727376
"113",9,"Barbour","BA",3925,-85.4672886881,32.0171047522
"114",9,"Barbour","BA",3926,-85.4644346602,32.0168366943
"115",9,"Barbour","BA",3927,-85.4615806514,32.016568564
"116",9,"Barbour","BA",3928,-85.4587266617,32.0163003612
"117",9,"Barbour","BA",3929,-85.455872691,32.016032086
"118",9,"Barbour","BA",3930,-85.4530187395,32.0157637383
"119",9,"Barbour","BA",3931,-85.450164807,32.0154953182
"120",9,"Barbour","BA",3932,-85.4473108937,32.0152268256
"121",9,"Barbour","BA",3933,-85.4444569995,32.0149582605
"122",9,"Barbour","BA",3934,-85.4416031243,32.014689623
"123",9,"Barbour","BA",3935,-85.4387492684,32.0144209131
"124",9,"Barbour","BA",3936,-85.4358954315,32.0141521307
"125",9,"Barbour","BA",3937,-85.4330416138,32.0138832759
"126",9,"Barbour","BA",3938,-85.4301878152,32.0136143486
"127",9,"Barbour","BA",3939,-85.5104177339,32.0187084551
"128",9,"Barbour","BA",3940,-85.507563505,32.018441491
"129",9,"Barbour","BA",3941,-85.5047092951,32.0181744544
"130",9,"Barbour","BA",3942,-85.5018551043,32.0179073454
"131",9,"Barbour","BA",3943,-85.4990009324,32.0176401639
"132",9,"Barbour","BA",3944,-85.4847303586,32.0163031695
"133",9,"Barbour","BA",3945,-85.481876301,32.0160355533
"134",9,"Barbour","BA",3946,-85.4790222624,32.0157678646
"135",9,"Barbour","BA",3947,-85.4761682429,32.0155001035
"136",9,"Barbour","BA",3948,-85.4733142424,32.0152322699
"137",9,"Barbour","BA",3949,-85.470460261,32.0149643638
"138",9,"Barbour","BA",3950,-85.4676062986,32.0146963853
"139",9,"Barbour","BA",3951,-85.4647523554,32.0144283343
"140",9,"Barbour","BA",3952,-85.4618984312,32.0141602109
"141",9,"Barbour","BA",3953,-85.4590445261,32.013892015
"142",9,"Barbour","BA",3954,-85.4561906401,32.0136237467
"143",9,"Barbour","BA",3955,-85.4533367732,32.0133554059
"144",9,"Barbour","BA",3956,-85.4504829254,32.0130869927
"145",9,"Barbour","BA",3957,-85.4476290967,32.012818507
"146",9,"Barbour","BA",3958,-85.4447752871,32.0125499489
"147",9,"Barbour","BA",3959,-85.4419214966,32.0122813184
"148",9,"Barbour","BA",3960,-85.4390677253,32.0120126153
"149",9,"Barbour","BA",3961,-85.436213973,32.0117438399
"150",9,"Barbour","BA",3962,-85.4333602399,32.011474992
"151",9,"Barbour","BA",3963,-85.430506526,32.0112060716
"152",9,"Barbour","BA",3964,-85.5107340555,32.0162999736
"153",9,"Barbour","BA",3965,-85.5078799113,32.0160330163
"154",9,"Barbour","BA",3966,-85.505025786,32.0157659867
"155",9,"Barbour","BA",3967,-85.5021716799,32.0154988845
"156",9,"Barbour","BA",3968,-85.4993175927,32.0152317099
"157",9,"Barbour","BA",3969,-85.4850474422,32.0138947501
"158",9,"Barbour","BA",3970,-85.4821934692,32.0136271407
"159",9,"Barbour","BA",3971,-85.4793395152,32.0133594589
"160",9,"Barbour","BA",3972,-85.4764855803,32.0130917047
"161",9,"Barbour","BA",3973,-85.4736316645,32.012823878
"162",9,"Barbour","BA",3974,-85.4707777678,32.0125559788
"163",9,"Barbour","BA",3975,-85.4679238901,32.0122880072
"164",9,"Barbour","BA",3976,-85.4650700314,32.0120199631
"165",9,"Barbour","BA",3977,-85.4622161919,32.0117518466
"166",9,"Barbour","BA",3978,-85.4593623714,32.0114836577
"167",9,"Barbour","BA",3979,-85.4565085701,32.0112153963
"168",9,"Barbour","BA",3980,-85.4536547878,32.0109470624
"169",9,"Barbour","BA",3981,-85.4508010246,32.0106786561
"170",9,"Barbour","BA",3982,-85.4479472806,32.0104101774
"171",9,"Barbour","BA",3983,-85.4450935556,32.0101416262
"172",9,"Barbour","BA",3984,-85.4422398498,32.0098730025
"173",9,"Barbour","BA",3985,-85.439386163,32.0096043064
"174",9,"Barbour","BA",3986,-85.4365324954,32.0093355379
"175",9,"Barbour","BA",3987,-85.4336788469,32.0090666969
"176",9,"Barbour","BA",3988,-85.4308252176,32.0087977835
"177",9,"Barbour","BA",3989,-85.511050358,32.0138914809
"178",9,"Barbour","BA",3990,-85.5081962985,32.0136245306
"179",9,"Barbour","BA",3991,-85.505342258,32.0133575078
"180",9,"Barbour","BA",3992,-85.5024882364,32.0130904125
"181",9,"Barbour","BA",3993,-85.4996342339,32.0128232448
"182",9,"Barbour","BA",3994,-85.4967802504,32.0125560046
"183",9,"Barbour","BA",3995,-85.4939262859,32.012288692
"184",9,"Barbour","BA",3996,-85.4910723405,32.0120213069
"185",9,"Barbour","BA",3997,-85.488218414,32.0117538494
"186",9,"Barbour","BA",3998,-85.4853645066,32.0114863194
"187",9,"Barbour","BA",3999,-85.4825106183,32.011218717
"188",9,"Barbour","BA",4000,-85.479656749,32.0109510421
"189",9,"Barbour","BA",4001,-85.4768028988,32.0106832947
"190",9,"Barbour","BA",4002,-85.4739490676,32.0104154749
"191",9,"Barbour","BA",4003,-85.4710952555,32.0101475827
"192",9,"Barbour","BA",4004,-85.4682414624,32.009879618
"193",9,"Barbour","BA",4005,-85.4653876884,32.0096115808
"194",9,"Barbour","BA",4006,-85.4625339335,32.0093434712
"195",9,"Barbour","BA",4007,-85.4596801977,32.0090752892
"196",9,"Barbour","BA",4008,-85.456826481,32.0088070347
"197",9,"Barbour","BA",4009,-85.4539727833,32.0085387077
"198",9,"Barbour","BA",4010,-85.4511191048,32.0082703084
"199",9,"Barbour","BA",4011,-85.4482654453,32.0080018365
"200",9,"Barbour","BA",4012,-85.445411805,32.0077332922
"201",9,"Barbour","BA",4013,-85.4425581838,32.0074646755
"202",9,"Barbour","BA",4014,-85.4397045817,32.0071959863
"203",9,"Barbour","BA",4015,-85.4197299026,32.0053131338
"204",9,"Barbour","BA",4016,-85.4168764536,32.0050438651
"205",9,"Barbour","BA",4017,-85.4140230238,32.004774524
"206",9,"Barbour","BA",4018,-85.4111696131,32.0045051104
"207",9,"Barbour","BA",4019,-85.4083162216,32.0042356244
"208",9,"Barbour","BA",4020,-85.5085126667,32.0112160337
"209",9,"Barbour","BA",4021,-85.5056587108,32.0109490178
"210",9,"Barbour","BA",4022,-85.502804774,32.0106819294
"211",9,"Barbour","BA",4023,-85.4999508561,32.0104147686
"212",9,"Barbour","BA",4024,-85.4970969572,32.0101475353
"213",9,"Barbour","BA",4025,-85.4942430774,32.0098802296
"214",9,"Barbour","BA",4026,-85.4913892166,32.0096128514
"215",9,"Barbour","BA",4027,-85.4885353748,32.0093454007
"216",9,"Barbour","BA",4028,-85.4856815521,32.0090778776
"217",9,"Barbour","BA",4029,-85.4828277484,32.0088102821
"218",9,"Barbour","BA",4030,-85.4799739637,32.0085426141
"219",9,"Barbour","BA",4031,-85.4771201981,32.0082748736
"220",9,"Barbour","BA",4032,-85.4742664516,32.0080070607
"221",9,"Barbour","BA",4033,-85.4714127241,32.0077391754
"222",9,"Barbour","BA",4034,-85.4685590157,32.0074712176
"223",9,"Barbour","BA",4035,-85.4657053263,32.0072031873
"224",9,"Barbour","BA",4036,-85.4628516561,32.0069350847
"225",9,"Barbour","BA",4037,-85.4599980049,32.0066669095
"226",9,"Barbour","BA",4038,-85.4571443728,32.0063986619
"227",9,"Barbour","BA",4039,-85.4542907598,32.0061303419
"228",9,"Barbour","BA",4040,-85.4514371658,32.0058619494
"229",9,"Barbour","BA",4041,-85.448583591,32.0055934845
"230",9,"Barbour","BA",4042,-85.4457300353,32.0053249472
"231",9,"Barbour","BA",4043,-85.4428764987,32.0050563374
"232",9,"Barbour","BA",4044,-85.4200488944,32.0029048511
"233",9,"Barbour","BA",4045,-85.41719553,32.0026355893
"234",9,"Barbour","BA",4046,-85.4143421848,32.0023662551
"235",9,"Barbour","BA",4047,-85.4114888587,32.0020968485
"236",9,"Barbour","BA",4048,-85.4086355518,32.0018273694
"237",9,"Barbour","BA",4049,-85.508829016,32.0088075257
"238",9,"Barbour","BA",4050,-85.5059751447,32.0085405166
"239",9,"Barbour","BA",4051,-85.5031212925,32.0082734351
"240",9,"Barbour","BA",4052,-85.5002674593,32.0080062812
"241",9,"Barbour","BA",4053,-85.4974136451,32.0077390548
"242",9,"Barbour","BA",4054,-85.4945598499,32.0074717559
"243",9,"Barbour","BA",4055,-85.4917060737,32.0072043846
"244",9,"Barbour","BA",4056,-85.4888523166,32.0069369409
"245",9,"Barbour","BA",4057,-85.4859985785,32.0066694247
"246",9,"Barbour","BA",4058,-85.4831448594,32.006401836
"247",9,"Barbour","BA",4059,-85.4802911594,32.0061341749
"248",9,"Barbour","BA",4060,-85.4774374785,32.0058664414
"249",9,"Barbour","BA",4061,-85.4745838165,32.0055986354
"250",9,"Barbour","BA",4062,-85.4717301737,32.0053307569
"251",9,"Barbour","BA",4063,-85.4688765499,32.005062806
"252",9,"Barbour","BA",4064,-85.4660229452,32.0047947827
"253",9,"Barbour","BA",4065,-85.4631693595,32.0045266869
"254",9,"Barbour","BA",4066,-85.460315793,32.0042585187
"255",9,"Barbour","BA",4067,-85.4574622455,32.003990278
